table_name,column_name,is_nullable,data_type
MILESTONE_REPORT_V,WC_INVESTMENT_YEAR,YES,STRING
MILESTONE_REPORT_V,WC_APPROVAL_YEAR,YES,INT64
MILESTONE_REPORT_V,WC_SAP_PROJECT_NUMBER,YES,STRING
MILESTONE_REPORT_V,WC_SAP_WBS_EXPENSE,YES,STRING
MILESTONE_REPORT_V,WC_SAP_WBS_CAPITAL,YES,STRING
MILESTONE_REPORT_V,WC_SAP_STATUS,YES,STRING
MILESTONE_REPORT_V,WC_SAP_LOG,YES,STRING
MILESTONE_REPORT_V,WC_REQUESTOR_COST_CENTER,YES,STRING
MILESTONE_REPORT_V,WC_RESPONDER_COST_CENTER,YES,STRING
MILESTONE_REPORT_V,WC_CONTRACTOR,YES,STRING
MILESTONE_REPORT_V,WC_CITY,YES,STRING
MILESTONE_REPORT_V,WC_STATE,YES,STRING
MILESTONE_REPORT_V,WC_ZIP,YES,STRING
MILESTONE_REPORT_V,WC_CLLI,YES,STRING
MILESTONE_REPORT_V,WC_STREET,YES,STRING
MILESTONE_REPORT_V,WC_LOCATION,YES,STRING
MILESTONE_REPORT_V,WC_ROUTE_OH,YES,FLOAT64
MILESTONE_REPORT_V,WC_ROUTE_UG,YES,FLOAT64
MILESTONE_REPORT_V,WC_DTAPS_UG,YES,INT64
MILESTONE_REPORT_V,WC_DTAPS_OH,YES,INT64
MILESTONE_REPORT_V,DELIVERABLE_ID,YES,INT64
MILESTONE_REPORT_V,DELIVERABLE_INTERNAL_NAME,YES,STRING
MILESTONE_REPORT_V,DELIVERABLE_PROPOSED_START,YES,STRING
MILESTONE_REPORT_V,DELIVERABLE_PROPOSED_END,YES,STRING
MILESTONE_REPORT_V,DELIVERABLE_ACTUAL_START,YES,STRING
MILESTONE_REPORT_V,DELIVERABLE_ACTUAL_END,YES,STRING
MILESTONE_REPORT_V,DELIVERABLE_STATUS,YES,STRING
MILESTONE_REPORT_V,DELIVERABLE_CREATED_AT,YES,TIMESTAMP
MILESTONE_REPORT_V,ADDRESS_COUNT,YES,INT64
MILESTONE_REPORT_V,PREM_COUNT,YES,INT64
TEST_TICKET_OVERVIEW_V,TICKET_PROPERTIES_ID,YES,STRING
TEST_TICKET_OVERVIEW_V,TICKET_CREATOR_USERNAME,YES,STRING
TEST_TICKET_OVERVIEW_V,TICKET_ASSIGNED_USERNAME,YES,STRING
TEST_TICKET_OVERVIEW_V,TICKET_STATUS,YES,STRING
TEST_TICKET_OVERVIEW_V,TICKET_TYPE,YES,STRING
TEST_TICKET_OVERVIEW_V,TICKET_TYPE_CATEGORY,YES,STRING
TEST_TICKET_OVERVIEW_V,TICKET_CANCELLED_DATETIME,YES,DATETIME
TEST_TICKET_OVERVIEW_V,TICKET_CREATED_DATETIME,YES,DATETIME
TEST_TICKET_OVERVIEW_V,TICKET_ASSIGNED_DATETIME,YES,DATETIME
TEST_TICKET_OVERVIEW_V,TICKET_LAST_MODIFIED_DATETIME,YES,DATETIME
TEST_TICKET_OVERVIEW_V,TICKET_GROUP,YES,STRING
TEST_TICKET_OVERVIEW_V,TICKET_REGION,YES,STRING
TEST_TICKET_OVERVIEW_V,TICKET_UPDATE_DATETIME,YES,DATETIME
TEST_TICKET_OVERVIEW_V,TICKET_START_DATETIME,YES,DATETIME
TEST_TICKET_OVERVIEW_V,TICKET_DUE_DATETIME,YES,DATETIME
TEST_TICKET_OVERVIEW_V,TICKET_TICKET_DETAILS,YES,STRING
TEST_TICKET_OVERVIEW_V,TICKET_ONSITE_DATETIME,YES,DATETIME
TEST_TICKET_OVERVIEW_V,TICKET_PROJECT,YES,STRING
TEST_TICKET_OVERVIEW_V,PARENT_TICKET_PROJECT_NAME,YES,STRING
TEST_TICKET_OVERVIEW_V,PARSED_CLLI,YES,STRING
TEST_TICKET_OVERVIEW_V,WC_TICKET_CLLI,YES,STRING
TEST_TICKET_OVERVIEW_V,WC_TICKET_ID,YES,STRING
TEST_TICKET_OVERVIEW_V,WC_PROPERTIES_TICKET_GROUP,YES,STRING
TEST_TICKET_OVERVIEW_V,WC_PROFILE,YES,STRING
TEST_TICKET_OVERVIEW_V,WC_COMPANY_CODE,YES,STRING
TEST_TICKET_OVERVIEW_V,WC_INVESTMENT_YEAR,YES,STRING
TEST_TICKET_OVERVIEW_V,WC_APPROVAL_YEAR,YES,INT64
TEST_TICKET_OVERVIEW_V,WC_SAP_PROJECT_NUMBER,YES,STRING
TEST_TICKET_OVERVIEW_V,WC_SAP_WBS_EXPENSE,YES,STRING
TEST_TICKET_OVERVIEW_V,WC_SAP_WBS_CAPITAL,YES,STRING
TEST_TICKET_OVERVIEW_V,WC_SAP_STATUS,YES,STRING
